rank,content_hash_id,priority_score,action,reason_code,days_since_last_update,impressions_30d,users_30d,ctr,avg_position
5628,content_eb1ce88f6b406caf,0.6667362369248914,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,132,0,0.0,53.497785458269334
5629,content_dc4ce0c963e00b6e,0.6667336048979396,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,106,0,0.0,16.106732348111656
5630,content_2c4758765c03b1e5,0.6667333121739109,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,167,0,0.0,63.097023809523805
5631,content_6975d52297f23b99,0.6667275097122081,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,108,0,0.0,13.51455266955267
5632,content_11e70e283aa1d600,0.6667008985002275,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,1843,2,0.0016277807921866521,12.010964821619288
5633,content_3ff808ed58eb2c69,0.666692050684156,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,127,424,1,0.0023584905660377358,29.063456249033855
5634,content_3737d6a8af2ff093,0.6666875197497049,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,131,0,0.0,57.43139025725233
5635,content_c9390759306ac79e,0.6666787225275248,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,626,10,0.001597444089456869,14.22038726119293
5636,content_527ff32fa9fa42ca,0.6666730976190298,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,110,0,0.0,10.50169413919414
5637,content_6d649291af1253e2,0.6666651713994611,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,170,0,0.0,27.03965577433319
5638,content_e29accc6b6e9039e,0.6666616734216523,REVIEW,VISIBLE_LOW_CTR,41,180,5,0.0,5.283419913419913
5639,content_1d56bbac8887a9cc,0.6666358684690046,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,155,0,0.0,52.50906298003072
5640,content_73b7b060d1d3c018,0.6666355912360996,REVIEW,VISIBLE_LOW_CTR,18,975,4,0.0010256410256410256,9.810581772984486
5641,content_9272669c93e2b63b,0.6666231886247704,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,158,0,0.0,14.088539886039886
5642,content_e672aa33b7667dbd,0.6665971957477523,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,63,106,2,0.009433962264150943,13.502864044168392
5643,content_dd3952a8c9a11b94,0.6665890578329806,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,46,479,6,0.006263048016701462,44.135121427955255
5644,content_b7abbc42f605645c,0.6665798498062292,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,105,0,0.0,19.335578002244667
5645,content_f290361ca9c9b5fd,0.6665798498062292,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,100,0,0.0,19.518788819875777
5646,content_709d984c7c777138,0.6665767333321772,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,428,5,0.0,11.430803694513372
5647,content_768f7c72bceaff2a,0.6665459395372086,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,8,588,6,0.0,16.23998605737758
5648,content_069d91f2120cdbb1,0.6665253301363091,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,149,0,0.0,31.545830327080328
5649,content_ff1af51531111d97,0.6665159595480535,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,104,0,0.0,58.9698030364697
5650,content_b36e5ea72bb90b20,0.6664448755835862,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,118,0,0.0,17.744882320744388
5651,content_820c1285e23a580b,0.6664387660241075,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,216,0,0.0,30.119967347467348
5652,content_b0ad1ef75ccf2bb3,0.6664371808945879,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,136,0,0.0,23.79998756033239
5653,content_648f3cb307dee8ad,0.6664355118294935,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,524,5,0.0,11.150526782660716
5654,content_0cbba8457a49555b,0.666424480197718,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,825,4,0.0012121212121212121,17.724737269502132
5655,content_bdc681118dcea71a,0.6664154948451639,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,125,335,4,0.0,53.13750506708911
5656,content_d23b4c13f9934f0b,0.6664143758697737,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,228,0,0.0,52.56692378134686
5657,content_7a728f7433942049,0.66640426966335,REVIEW,VISIBLE_LOW_CTR,1,7544,5,0.0,9.645185734794714
5658,content_2ffd36f2a70be7e3,0.6663813029335375,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,14,1603,5,0.0006238303181534623,25.82450919645368
5659,content_3f87a03aa9099073,0.6663624057932007,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,151,0,0.0,34.66995647721454
5660,content_582954bb64306d32,0.6663480174981964,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,118,0,0.0,57.82372742200329
5661,content_e0d29b0beebb7db7,0.6663192426719963,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,188,0,0.0,33.136392722503835
5662,content_2b21d435b7013a32,0.6663091223547857,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,113,0,0.0,34.809183673469384
5663,content_70cf17ecbeff2e3e,0.6663065098986798,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,444,6,0.0,21.464910092218
5664,content_06374eb3e02b6aff,0.6663006124928289,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,471,11,0.0021231422505307855,28.631785918471618
5665,content_3875555eb916642f,0.6662575058416264,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,101,0,0.0,16.206902356902358
5666,content_fe616e87e5384f66,0.666255848987246,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,164,8,0.0,41.918825253693676
5667,content_e7a43468b2473fed,0.6662479694715766,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,46,1057,5,0.003784295175023652,25.380867404470433
5668,content_5dcd339251022d55,0.6662172836953797,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,103,0,0.0,11.128968253968253
5669,content_1ffcdc4e707b6283,0.6661902946433768,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,1648,2,0.0006067961165048543,18.35880736826242
5670,content_98dd266f76859517,0.6661659993361604,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,139,0,0.0,28.471797052154194
5671,content_8959215076b169ff,0.6661616067686726,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,179,0,0.0,31.83644993894994
5672,content_e12a8b9cd84f9bba,0.6661256168827011,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,125,244,3,0.004098360655737705,10.504805678192776
5673,content_21af2f7047f3be56,0.6660943182604251,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,127,0,0.0,35.781448723690104
5674,content_dd7b56b09af0e502,0.6660914068320674,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,707,1,0.0014144271570014145,26.20974847018712
5675,content_91d4e32c8ece60f4,0.6660850505774649,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,197,0,0.0,40.11225294418843
5676,content_d9cd1a632e9b6690,0.6660681937051286,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,158,0,0.0,26.72572964669739
